% !TEX encoding = utf8
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Encoding check:
%%   ä  ö  ü  Ä  Ö  Ü  ß  á  é  í  ó  ú  à  è  ì  ò  ù  â  ê  î  ô  û
%%
%%   If the above contains rubbish, please re-open this file using
%%   the CORRECT encoding.  By default this is UTF-8.
%%   DO NOT save the file in this case!
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% author.txt:
%   Defines shortcuts for authors.
%   NOTE: NEVER use names for authors
%         in your BibTeX item! Always use the ones in here, or
%         add it if necessary.
%   NOTE: If you add a new shortcut, add it at the right place meaning
%         sorted lexicographially!
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% author names
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% A %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Aasa	Aasa, Anto
LeRiche	Le Riche, Rodolphe
LeSaux	Le Saux, E.
LeVine	Le Vine, Scott
Leach	Leach, John
LeachA	Leach, A. G.
Leaman	Leaman, A.
Leamer	Leamer, E. E.
Leary	Leary, Mark R.
Leather	Leather, J.
Lebacque	Lebacque, Jean-Patrick
Lebaron	Lebaron, Blake
Leblanc	LeBlanc, Larry J.
Lebrun	Lebrun, K
LebrunK	Lebrun, K.
Lechene	Lechene, Valerie
Lechler	Lechler, Tim
Leclercq	Leclercq, Ludovic
Lee	Lee, Michelle
LeeBA	Lee, Barrett A.
LeeBHY	Lee, Brian H. Y.
LeeC	Lee, Chungwon
LeeDH	Lee, Der-Horng
LeeGosselin	Lee-Gosselin, Martin E. H.
LeeHL	Lee, Hsien Loong
LeeJ	Lee, Jong Sung
LeeJA	Lee, J. A.
LeeJames	Lee, James
LeeJQ	Lee, Jun
LeeK	Lee, Kwang-Sub
LeeNJ	Lee, Nai Jia
LeeS	Lee, Seokho
LeeSE	Lee, Seungho
LeeSH	Lee, Sang Hoon
LeeSJ	Lee, Seung Jae
LeeT	Lee, Taihyeong
LeeUK	Lee, Un-Kun
Leen	Leen, T.K.
Leeworthy	Leeworthy, Vernon R.
Lefebvre	Lefebvre, Nicolas
LefebvreW	Lefebvre, W.
Legrain	Legrain, Laetitia
Lehmann	Lehmann, S.
Lehner	Lehner, Manuel
Lehnerer	Lehnerer, Alex
Lei	Lei, Ming
LeiT	Lei, T. L.
LeiTQ	Lei, Ting
Leibler	Leibler, R. A.
Leidl	Leidl, Reinhard
Leisch	Leisch, Friedrich
Leiser	Leiser, David
Leitner	Leitner, Michael
Lemp	Lemp, Jason D.
Lennon	Lennon, Alexia
LennonJJ	Lennon, J. John
Lenntorp	Lenntorp, Bo
Lenormand	Lenormand, Maxime
Lenz	Lenz, Barbara
Lenstra	Lenstra, J. K.
Leonardi	Leonardi, S.
LeonardiG	Leonardi, G.
LeonardiJ	Léonardi, Jacques.
Leontief	Leontief, Wassily W.
Lepp	Lepp, Andrew
Lerman	Lerman, S. R.
Leroux	Leroux, Philippe
Lesort	Lesort, J. B.
LethPetersen	Leth-Petersen, Soeren
Leutzbach	Leutzbach, Wilhelm
Levin	Levin, J.
LevineJC	Levine, Jonathan C.
LevineDK	Levine, David K.
LevineS	Le Vine, Scott
Levinson	Levinson, David
Lewis	Lewis, T.
LewisB	Lewis, Bryan
LewisD	Lewis, D.
Ley	Ley, Hubert
Li	Li, Jie
LiD	Li, Deyi
LiH	Li, Hainan
LiHao	Li, Hao
LiJ	Li, Jieping
LiJQ	Li, Junlong
LiL	Li, Lun
LiMZF	Li, Michael Z. F.
LiP	Li, Pei
LiS	Li, S.
LiT	Li, Tong
LiTQ	Li, T.
LiW	Li, W.
LiWai	Li, Wai Wing
LiY	Li, Yuanjun
LiZC	Li, Zhi-Chun
LiZ	Li, Zhigang Jason
Liamputtong	Liamputtong, Pranee
Liao	Liao, Lin
LiaoCF	Liao, Chen-Fu
LiaoF	Liao, Feixiong
LiaoY	Liao, Yihua
Lichman	Lichman, Moshe
Licoppe	Licoppe, Christian
Lieb	Lieb, Christoph
Lieberman	Lieberman, Gerald J.
Liebl	Liebl, Franz
Liedtke	Liedtke, Gernot
Light	Light, Thomas
Lighthill	Lighthill, Michael James
Lim	Lim, Clarck
LimCH	Lim, Chai Hoon
LimHB	Lim, Hock Beng
LimaC	Lima, Cláudio
Limtanakool	Limtanakool, Narisra
Lin	Lin, Ge
LinDY	Lin, Dung-Ying
LinH	Lin, H.
LinM	Lin, Ming C.
LinS	Lin, Shan
LinWH	Lin, Wei-Hua
Lind	Lind, G.
Lindberg	Lindberg, Erik
LindbergP	Lindberg, Per Olov
Lindell	Lindell, Michael K.
Lindenberg	Lindenberg, Siegwart
Lindenmayer	Lindenmayer, Aristid
Lindsey	Lindsey, Robert
LindseyR	Lindsey, Robin
Linkletter	Linkletter, Crystal
Lintell	Lintell, M.
Lippuner	Lippuner, Catherine
Litian	Litian, Xie
Litman	Litman, Todd Alexander
Littig	Littig, Beate
Little	Little, Roderick J. A.
LittleJD	Little, John D.C.
Litwin	Litwin, Marek S.
Liu	Liu, Like
LiuH	Liu, Henry
LiuHQ	Liu, Huan
LiuHenryX	Liu, Henry X.
LiuHs	Liu, Hsin-Lung
LiuJ	Liu, J.
LiuK	Liu, Kun
LiuL	Liu, Liang
LiuR	Liu, Ronghui
LiuX	Liu, Xiang
LiuXQ	Liu, Xuan
LiuY	Liu, Y.-H.
LiuYQ	Liu, Yunhuai
Liverman	Liverman, Diana M.
Livshits	Livshits, Vladimir
Lo	Lo, Lucia
LoAK	Lo, Anthony K.
LoK	Lo, K.
Lobb	Lobb, John
LoboF	Lobo, Fernando
Locher	Locher, Peter
Lockwood	Lockwood, Allison
Loder	Loder, Allister
Loechl	Löchl, Michael
Loehrer	Löhrer, R.
Loehner	Löhner, H.
Logan	Logan, Brian
Loh	Loh, J.
Lohse	Lohse, Dieter
Lomax	Lomax, Wendy
LomaxT	Lomax, Tim
Lonad	Lonad, H. K.
Long	Long, JianCeng
Longo	Longo, Nicola
Loomes	Loomes, G.
Loper	Loper, Margaret
Lord	Lord, E. A.
Lorenz	Lorenz, Matt
Los	Los, M.
Lotan	Lotan, T.
Lott	Lott, G.
Lotzmann	Lotzmann, Ulf
Louail	Louail, Thomas
Loudon	Loudon, W. R.
Louf	Louf, R\'emi
Louis	Louis, E.
Louviere	Louviere, Jordan J.
Love	Love, Peter E. D.
Lovric	Lovric, Milan
Low	Low, Steven
LowD	Low, David
Lowry	Lowry, Ira S.
Lozano	Lozano, M.
Lu	Lu, Ming
LuJ	Lu, Jiangang
LuL	Lu, Linjun
LuQ	Lu, Qingying
LuY	Lu, Yijing
Luathep	Luathep, Paramet
Lubore	Lubore, S. H.
Luca	Luca, L.
Ludford	Ludford, Pamela
Luebeck	Lübeck, Sven
Luedi	Lüdi, Georges
Lueger	Lueger, Manfred
Luersen	Luersen, Marco Antonio
Luethy	Lüthy, Nico
Luetolf	Lütolf, T.
Luigi	Luigi, Fabio de
Lula	Lula, Clarisse V.
Lumley	Lumley, Thomas
Lundberg	Lundberg, Shelly J.
Lundqvist	Lundqvist, Lars
Lupton	Lupton, Ellen
Lusher	Lusher, Dean
Lutzenberger	Lutzenberger, Martin
Luz	Luz, R.
LykJensen	Lyk-Jensen, S.
Lynch	Lynch, K.
Lyons	Lyons, G.
Lyytikainen	Lyytikainen, Teemu

% M %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Ma	Ma, Xiaolei
MaH	Ma, Huiye
MaJ	Ma, Jingtao
MaJQ	Ma, J.
MaL	Ma, Lu
MaT	Ma, Tai-Yu
Maat	Maat, Kees
Mabit	Mabit, Stefan L.
MacDonald	MacDonald, Elizabeth
MacKay	MacKay, David J. C.
MacKayRS	MacKay, R. S.
MacNair	MacNair, Edward A.
Machemehl	Machemehl, Randy B.
Machleit	Machleit, Karen A.
Maciejewski	Maciejewski, Michal
Macintosh	MacIntosh, J.
Mackie	Mackie, P. J.
MackieP	Mackie, P.
Macpherson	Macpherson, David A.
Madera	Madera, John
Madre	Madre, Jean-Loup
Madsen	Madsen, Bjarne
MadsenMM	Madsen, Mette My
Maerivoet	Maerivoet, Sven
Maerki	Märki, Fabian
Magadza	Magadza, C. H. D.
Mager	Mager, Thomas J.
Maggi	Maggi, Rico
Magnanti	Magnanti, T. L.
Mahdian	Mahdian, Mohammad
Mahey	Mahey, P.
Mahmassani	Mahmassani, H. S.
Mahmoud	Mahmoud, M.
Mahpour	Mahpour, Alireza
Mahut	Mahut, Michael
Maibach	Maibach, Markus
Maier	Maier, Gunther
Maiolo	Maiolo, John R.
Maksim	Maksim, H.
Maley	Maley, Donald W.
Malinovskiy	Malinovskiy, Yegor
Mallard	Mallard, Graham
Malone	Malone, Linda C.
Malpezzi	Malpezzi, Stephen
Mamdoohi	Mamdoohi, Amirezza
Mandir	Mandir, Eileen
Maniezzo	Maniezzo, Vittorio
Manley	Manley, Ed
Mann	Mann, H. B.
Manna	Manna, S. S.
Mannering	Mannering, F.
Manrai	Manrai, Ajay K.
Manski	Manski, Charles F.
Manz	Manz, Wilko
Maoh	Maoh, Hanna
Marathe	Marathe, Madhav
MaratheMV	Marathe, Madhav V.
Marble	Marble, D. F.
Marca	Marca, James E.
March	March, L.
MarchJG	March, James G.
Marchal	Marchal, Fabrice
MarchalP	Marchal, Philippe
MarchettiSpaccamela	Marchetti-Spaccamela, Alberto
Marchiori	Marchiori, M.
Marcon	Marcon, Massimiliano
Marcotte	Marcotte, Patrice
Maritan	Maritan, Amos
Mark	Mark, Ülar
Markin	Markin, Rom J.
Markopoulou	Markopoulou, Athina
Markram	Markram, Henry
Marks	Marks, Eli S.
MarksP	Marks, P.
Marmolejo	Marmolejo, Alejandro
Marnay	Marnay, Chris
Marsden	Marsden, Greg
MarsdenP	Marsden, P.V.
Marshall	Marshall, A.
MarshallAW	Marshall, A. W.
MarshallBK	Marshall, Brent K.
MarshallS	Marshall, Stephen
Martens	Martens, Karel
Marti	Marti, U.
MartiP	Marti, Peter
MartiR	Martí, Rafael
Martin	Martin, Ralf
MartinB	Martin, Basile
MartinL	Markin, L.
Martinez	Martínez, Francisco
MartinezI	Martínez, Irene
MartinezL	Martínez, L.M.
Martonosi	Martonosi, M.
Maruyama	Maruyama, H.
Marzluff	Marzluff, John M.
Mascolo	Mascolo, Cecilia
Masera	Masera, Marcelo
Marsten	Marsten, R.E.
Mason	Mason, John L.
Matas	Matas, Anna
Matheson	Matheson, I. B. C.
Mathew	Mathew, Tom V.
Matisziw	Matisziw, T.
Matsoukis	Matsoukis, E. C.
Matsumoto	Matsumoto, Manabu
Matthews	Matthews, Bryan
MatthewsR	Matthews, Robert
Matthies	Matthies, Ellen
Matti	Matti, Daniel
Mattsson	Mattsson, L.-G.
Matylis	Matylis, G.
Maurer	Maurer, Peter
Mauron	Mauron, Laurent
Mavronicolas	Mavronicolas, Marios
Mawson	Mawson, Anthony R.
MayM	May, Michael
Mayer	Mayer, Thomas
MayerK	Mayer, K.
Mayeres	Mayeres, Inge
Mayers	Mayers, I.
Mayring	Mayring, Philipp
Maze	Maze, Thomas H.
Mazilu	Mazilu, D. A.
MaziluI	Mazilu, I.
McArdle	McArdle, Gavin
McCabe	McCabe, Hugh
McCarthy	McCarthy, P. S.
McCloskey	McCloskey, Deidre N.
McCormack	McCormack, Gavin R.
McCormackE	McCormack, Evan
McDonald	McDonald, John F.
McFadden	McFadden, Daniel
McGrath	McGrath, R.
McGuire	McGuire, C. B.
McKay	McKay, Michael D.
McLaughlin	McLaughlin, Amanda
McLaughlinWJ	McLaughlin, William J.
McMillen	McMillen, Daniel P.
McNabola	McNabola, Aonghus
McNally	McNally, Michael G.
McPherson	McPherson, Miller
McShane	McShane, William R.
McWethy	McWethy, Laura B.
Mead	Mead, Roger
Medeiros	Medeiros, Deb J.
Meeraus	Meeraus, Alexander
Meersman	Meersman, Hilde
Meffert	Meffert, Klaus
Mehaffy	Mehaffy, Michael W.
Mehlin	Mehlin, Markus
Mehrabian	Mehrabian, Alber
Mehran	Mehran, B.
Mehta	Mehta, Nihal J.
Meier	Meier, Linus
MeierD	Meier, D.
Meinel	Meinel, G.
Meiners	Meiners, H.
Meister	Meister, Konrad
Mellman	Mellman, Robert E.
Melnik	Melnik, Ofer
Melo	Melo, Patricia C.
Menard	Menard, Jason
Menaz	Menaz, Batool
Mende	Mende, Felix H.
Mendes	Mendes, G. A.
MendesJ	Mendes, Julio
Menendez	Menéndez, Mónica
Menghini	Menghini, Gianluca
Mensonides	Mensonides, Wytse
Mentzas	Mentzas, Gregoris
Menz	Menz, Wolfgang
MeridaCasermeiro	Mérida-Casermeiro, Enrique
Merkle	Merkle, Daniel
Merlo	Merlo, Antonio
Mertsching	Mertsching, Bärbel
Mesbah	Mesbah, Mahmoud
Messer	Messer, Carroll J.
Messinger	Messinger, Paul R.
Metha	Metha, N. J.
Metz	Metz, David
Meuser	Meuser, Michael
Meyburg	Meyburg, A. H.
Meyer	Meyer, Michael D.
MeyerNiebergS	Meyer-Nieberg, Silja
MeyerOnlyR	Meyer, R.
MeyerR	Meyer, Robert J.
MeyerU	Meyer, Ulrich
MeyerdeFreitas	Meyer de Freitas, Lucas
Mezdani	Mezdani, Youssef
Michael	Michael, Maged M.
MichaelM	Michael, M.
MichalewiczZ	Michalewicz, Zbigniew
Michalopoulos	Michalopoulos, P. C.
Michelon	Michelon, P.
Michie	Michie, Donald
Michiels	Michiels, H.
Micklewright	Micklewright, John
Middaugh	Middaugh, Beauregard
Middendorf	Middendorf, Martin
Middleton	Middleton, Richard S.
Midenet	Midenet, Sophie
Midgley	Midgley, Peter
Mielsch	Mielsch, Lutz-Ingo
Mieth	Mieth, P.
Miglioretti	Miglioretti, Diana L.
Mikoleit	Mikoleit, Anne
Milam	Milam, Ronald T.
Milgram	Milgram, Stanley
Milinskii	Milinskii, Ronald A. I.
Millan	Millan, P. C.
MillardBall	Millard-Ball, Adam
Miller	Miller, Eric J.
MillerA	Miller, Abbott
MillerGA	Miller, George A.
MillerGK	Miller, Gerald K.
MillerHJ	Miller, Harvey J.
MillerHooks	Miller-Hooks, Elise
MillerSt	Miller, Stephen
Milon	Milon, J. W.
Minami	Minami, K.
Minderhoud	Minderhoud, M. M.
Mingozzi	Mingozzi, Aristide
Minkevicius	Minkevicius, Saulius
Mirchandani	Mirchandani, Pitu
Mirmehdi	Mirmehdi, Majid
Miron	Miron, John R.
Mishalani	Mishalani, R.
Mislove	Mislove, Alan
Misra	Misra, Sudip
Mitchell	Mitchell, R
MitchellJE	Mitchell, Joshua E.
MitchellM	Mitchell, Michael
MitchellW	Mitchell, W. J.
Mitradjieva	Mitradjieva, M.
Moberg	Moberg, Christopher R.
ModestoDeSouza	Modesto de Souza, Ricardo Cartaxo
Modrzejewski	Modrzejewski, Jakub
Moeckel	Moeckel, R.
Moehring	Möhring, Rolf H.
Moeller	Möller, Berit
Moelthen	Mölthen, J.
Mogridge	Mogridge, Martin J H
Mohammadian	Mohammadian, Abolfazl Kouros
Mohanty	Mohanty, Sudatta
Moiseeva	Moiseeva, Anastasia
Mok	Mok, D.
Mokhtarian	Mokhtarian, G.
MokhtarianP	Mokhtarian, Patricia L.
Molin	Molin, Eric J. E.
Moll	Moll, Stephan
Mollaghasemi	Mollaghasemi, Mansooreh
Molnar	Moln\'ar, P\'eter
Mondschein	Mondschein, Andrew
Montuori	Montuori, Alfonso
Monro	Monro, S.
Montella	Montella, Bruno
Montenegro	Montenegro, N.
Montgomery	Montgomery, Alan L.
Montini	Montini, Lara
Monzon	Monzón, Andrés
Moons	Moons, E.
Moore	Moore, James E.
MooreE	Moore, Eric G.
MooreJ	Moore, José
MooreK	Moore, Katie
Morari	Morari, Manfred
More	Moré, Jorge J.
Moreira	Moreira, João M.
Morency	Morency, Catherine
Moreno	Moreno, Yamir
Moret	Moret, Bernard
Morgan	Morgan, D.
Morgenstern	Morgenstern, Oskar
Morichi	Morichi, Shigeru
Morikawa	Morikawa, Taka
Morlok	Morlok, Edward K.
Morsch	Morsch, Oliver
Mortazavi	Mortazavi, R.
Morton	Morton, David P.
Moses	Yoram, Moses
Mosteller	Mosteller, Frederick
Moudon	Moudon, Anne Vernez
Mourali	Mourali, Mehdi
Mourik	Mourik, H.
Moutinho	Moutinho, Luiz A.
Muckell	Muckell, Jonathan
Muegge	Mügge, Holger
Muehlethaler	Mühlethaler, Franz
Muehlhans	Mühlhans, Heike
Muehlich	Mühlich, Nicolas
Muellbauer	Muellbauer, J.
Mueller	Müller, Kai
MuellerAS	Müller Arizona, Stefan
MuellerArisona	Müller Arisona, Stefan
MuellerD	Müller, Daniela
MuellerKR	Müller, K. R.
MuellerK	Müller, Kirill
MuellerM	Müller, Matthias
MuellerMa	Müller, Martin
MuellerMi	Müller, Michel
MuellerP	Müller, Pascal
MuellerS	Müller, Sven
Muheim	Muheim, Peter
Muhs	Muhs, J.
Mukherjee	Mukherjee, G.
Mulder	Mulder, Clara H.
Mulley	Mulley, Corinne
Muniz	Muñiz, Ivan
Munizaga	Munizaga, Marcela A.
Munoz	Muñoz, Juan Carlos
Murakami	Murakami, Elaine
MurakamiD	Murakami, D.
Murga	Murga, Mikel
Murphy	Murphy, Paul
Murray	Murray, T.
MurrayA	Murray, Alan T.
MurrayG	Murray, Gail
MurrayTuite	Murray-Tuite, Pamela M.
Musha	Musha, Toshimitsu
Mushkatel	Mushkatel, Alvin H.
Musselman	Musselman, Kenneth J.
Mustafa	Mustafa, A.
MutizwaMangiza	Mutizwa-Mangiza, Naison D.
Myers	Myers, J.
Myllymaeki	Myllymäki, Petri J.


% N %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Naeher	Näher, Stefan
Nagae	Nagae, T.
Nagaraj	Nagaraj, Kalyani
Nagel	Nagel, Kai
NagelU	Nagel, Ulrike
Naghawi	Naghawi, Hana
Nagurney	Nagurney, A.
Nair	Nair, Rahul
Nakagaki	Nakagaki, Toshiyuki
Nakai	Nakai, Shusaku
Nakamichi	Nakamichi, K.
Nakamura	Nakamura, H.
Nakanishi	Nakanishi, Hitomi
Nakarado	Nakarado, G. L.
Nakatsuji	Nakatsuji, Takashi
Nakaya	Nakaya, Tomoki
Nakayama	Nakayama, Akihiro
NakayamaS	Nakayama, Shoichiro
Nakazato	Nakazato, Morimichi
Nanda	Nanda, Raman
Nanni	Nanni, Umberto
Narasimhan	Narasimhan, Chakravarthi
Narayana	Narayana, Chem L.
Narayanan	Narayanan, Ravi
Narula	Narula, Subhash C.
Nash	Nash, John
NashA	Nash, Andy
NashC	Nash, Chris
NashCA	Nash, C. A.
Neale	Neale, Margaret A.
Neculau	Neculau, Mihaela
Neda	Néda, Z.
Nedungadi	Nedungadi, Prakash
Needleman	Needleman, Saul B.
Neef	Neef, C.
Nel	Nel, Johanna
Nelder	Nelder, John Ashforth
Nellthorp	Nellthorp, J.
Nelson	Nelson, Peter
NelsonB	Nelson, B.
Nembhard	Nembhard, H. B.
Neo	Neo, Poh Har
Nerella	Nerella, Sriharsha
Neto	Neto, David
Netzer	Netzer, Nick
Neuburger	Neuburger, H.
Neuenschwander	Neuenschwander, René
Neumann	Neumann, Marc
NeumannA	Neumann, Andreas
NeumannAQ	Neumann, Alexander
Neutens	Neutens, Tijs
Newman	Newman, Jeffrey
NewmanMEJ	Newman, M. E. J
Newsome	Newsome, Tracy H.
Ng	Ng, ManWo
NgCF	Ng, Chen Feng
NgFF	Ng, F. F.
Nguyen	Nguyen, S.
Nice	Nice, M.
Nicholson	Nicholson, Nigel
NicholsonA	Nicholson, A
Nicol	Nicol, D.
Nicolai	Nicolai, T.
Nicosia	Nicosia, Vincenzo
Niedringhaus	Niedringhaus, William P.
Nielsen	Nielsen, Otto Anker
Niemeier	Niemeier, Debbie A.
Nievergelt	Nievergelt, Jürg
Niininen	Niininen, Outi
Nijkamp	Nijkamp, Peter
Nijland	Nijland, Linda
Nikias	Nikias, Vasileios
Nikitin	Nikitin, A.
Nikoletseas	Nikoletseas, Sotiris
Nilsson	Nilsson, Nils J.
NilssonM	Nilsson, Maria
Nisan	Nisan, Noam
Nishii	Nishii, Kazuo
Nishikawa	Nishikawa, Ikuko
Nishinari	Nishinari, Katsuhiro
Niskanen	Niskanen, Esko
Nitsche	Nitsche, Philippe
Niyogi	Niyogi, Dev
Nobis	Nobis, Claudia
Noble	Noble, Jason
Noekel	Nökel, Klaus
Noel	Noel, C.
Noembrini	Noembrini, F.
Noh	Noh, Hyunsoo
Nohls	Nohls, Clausia
Noland	Noland, Robert B.
Noor	Noor, Muhammad Aslam
NoorKI	Noor, Khalida Inayat
Norland	Norland, Ingrid T.
Northcraft	Northcraft, Gregory B.
Norvig	Norvig, Peter
Noth	Noth, M.
Noulas	Noulas, Anastasios
Novak	Novak, David C.
Nowak	Nowak, A.
NowakMA	Nowak, Martin A.
Nuortio	Nuortio, Teemu
NurArifin	Nur Arifin, Z.
Nurmi	Nurmi, Väinö
Nurumbetova	Nurumbetova, Adel E.
Nussbaumer	Nussbaumer, Gustav
Nuzzola	Nuzzola, A.
Nuzzolo	Nuzzolo, Agostino

% O %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
OCinneide	O'Cinneide, Colm Art
OKelly	O'Kelly, M. E.
OReilly	O'Reilly, Gerard P.
Oberkampf	Oberkampf, W. L.
Obermeyer	Obermeyer, A.
Obradovic	Obradovic, Zoran
Ocel	Ocel, Norah M.
Ochelen	Ochelen, Sara
Ochieng	Ochieng, Washington Yotto
Oded	Oded, Cats
Odell	Odell, James
Odgaard	Odgaard, T.
Odland	Odland, John
Ogbonna	Ogbonna, Emmanuel
Ogle	Ogle, Jennifer
Oh	Oh, Cheol
Ohmori	Ohmori, Nobuaki
Ohnmacht	Ohnmacht, Timo
Ohrem	Ohrem, P.
Oi	Oi, Walter Y.
OjedaCabral	Ojeda Cabral, Manuel
Oladeine	Oladeine, F.
Oladosu	Oladosu, Gbadebo
Olaru	Olaru, Doina
Oleson	Oleson, Rex
Olguin	Olguín, Javiera
Olhofer	Olhofer, Markus
Oliveira	Oliveira, Marcelo
OliveiraEC	Oliveira, Eugénio C.
OliveiraGC	Oliveira, G. C.
Ollick	Ollick, F.
Olsen	Olsen, Aksel
Olszewski	Olszewski, Piotr
OlteanuRaimond	Olteanu-Raimond, Ana-Maria
Olukotun	Olukotun, Kunle
Onaka	Onaka, Jun L.
Ong	Ong, Seow Eng
OomdoValle	Oom do Valle, Patricia
Oommen	Oommen, B. John
Openshaw	Openshaw, Stan
Oppenheimer	Oppenheimer, M.
Opper	Opper, Jeffrey M.
Oppermann	Oppermann, Martin
Oppewal	Oppewal, H.
Orbe	Orbe, César
Orcutt	Orcutt, Guy H.
Ord	Ord, J. K.
Ordonez	Ordóñez Medina, Sergio A.
Orfeuil	Orfeuil, J. P.
Orgel	Orgel, D.
Orme	Orme, B.
Orram	Orram, H. C.
Orselli	Orselli, Jean
OrtaloMagne	Ortalo-Magné, François
Ortigosa	Ortigosa, Javier
Ortiz	Ortiz, José
Ortuzar	Ortúzar, Juan de Dios
Ory	Ory, David T.
Osborne	Osborne, Jason W.
Osman	Osman, Ahmed O.
Osorio	Osorio, Carolina
Ossowski	Ossowski, S.
Ostermeier	Ostermeier, A.
Osullivan	O'Sullivan, T.
Ott	Ott, Ruedi
Ottens	Ottens, Henk F. L.
Otterstaetter	Otterstätter, Thomas
Ottmann	Ottmann, Matthias
Otto	Otto, Vivianne I.
Ouafi	Ouafi, Rachid
Oukhellou	Oukhellou, L.
Oum	Oum, Tae
Ouorou	Ouorou, A.
Outwater	Outwater, M.
Ouyang	Ouyang, L. Q.
Overfelt	Overfelt, David
OvergaardHansen	Overgaard Hansen, C.
Overman	Overman, Henry
Owen	Owen, Andrew
Owens	Owens, Alvin J.
Oyama	Oyama, A.
% P %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

Paasche	Paasche, Julie
PabonJimenez	Pabón-Jiménez, Glarycelis
Pachauri	Pachauri, Rajendra K.
Packard	Packard, N.
Pae	Pae, Taavi
Paech	Paech, Niko
Paez	Páez, Antonio
Page	Page, Mattew
PageB	Page, Bernd
Pagliara	Pagliara, Francesca
Pajor	Pajor, Thomas
Paleti	Paleti, Rajesh
Pallottino	Pallottino, S.
Palma	Palma, Carolina
Palmer	Palmer, R. G.
PalmerIA	Palmer, I. A.
PalmerR	Palmer, R.
Palutikof	Palutikof, J. P.
Pan	Pan, Bei
PanC	Pan, Changxuan
Pang	Pang, Jong-Shi
PangSD	Pang, S. D.
Pantisano	Pantisano, Francesco
Papadopoulou	Papadopoulou, Vicky G.
Papageorgiou	Papageorgiou, M.
Papaix	Papaix, Claire
Papastathopoulou	Papastathopoulou, Paulina
Papathanasopoulou	Papathanasopoulou, Vasileia
Papinski	Papinski, Dominik
Papola	Papola, A.
Papula	Papula, Lothar
Parameswaran	Parameswaran, J.
Parasuraman	Parasuraman, A.
Parcells	Parcells, Robert J.
Pardalos	Pardalos, Panos M.
Parish	Parish, Yoav I. H.
Park	Park, Jun Hyeong
ParkK	Park, Kyounga
ParkKy	Park, Kyungdo
ParkS	Park, Seung yong
ParkYS	Park, Young Soo
Parker	Parker, J. Scott
Parkes	Parkes, A.
Parkin	Parkin, John
Parroco	Parroco, Anna Maria
Parry	Parry, M. L.
ParryI	Parry, Ian W.H.
Parsons	Parsons, G. R.
Partridge	Partridge, Kurt
Pas	Pas, Eric I.
Pashaie	Pashaie, Behruz
Pashardes	Pashardes, Panos
Pasman	Pasman, Sander
Pasquier	Pasquier, Martial
PastorSatorras	Pastor-Satorras, Romualdo
Patacchini	Patacchini, Eleonora
Pathak	Pathak, Parth
Patriarche	Patriarche, G.
Patriksson	Patriksson, M.
Patterson	Patterson, Donald J.
PattersonZ	Patterson, Zachary
Pattison	Pattison, Pip
Patwardhan	Patwardhan, A.
Paulmyer	Paulmyer, Isabelle
Paulussen	Paulußen, U.
Pawlak	Pawlak, J
Payne	Payne, John W.
Paz	Paz, Alex
Pearce	Pearce, David
Pearson	Pearson, David F.
Pebesma	Pebesma, Edzer
Pedersen	Pedersen, Torben Bach
Peer	Peer, Stefanie
Peeta	Peeta, Srinivas
Pel	Pel, Adam J.
Pelechano	Pelechano, Nuria
Peleg	Peleg, Kobi
Pelizaro	Pelizaro, T. A.
Pellegrini	Pellegrini, Pasquale A.
Pelletier	Pelletier, Marie-Pier
Pelling	Pelling, Mark
Pendyala	Pendyala, Ram M.
Peng	Peng, Zhong-Ren
PengW	Peng, Wen-Chih
Penn	Penn, Alan
